State,Year,Quarter,Brand,Transaction_count,Percentage
Andaman And Nicobar Islands,2019,3,Realme,1158,0.04838911871630901
Andaman And Nicobar Islands,2019,3,OnePlus,1045,0.043667209895115
Andaman And Nicobar Islands,2019,3,Huawei,725,0.030295432702352004
Andaman And Nicobar Islands,2019,3,Motorola,660,0.027579290460072
Andaman And Nicobar Islands,2019,3,Apple,630,0.026325686348251002
Andaman And Nicobar Islands,2019,3,Lenovo,483,0.020183026200325003
Andaman And Nicobar Islands,2019,3,Others,2110,0.088170155864777
Andaman And Nicobar Islands,2019,4,Xiaomi,6259,0.24110169491525402
Andaman And Nicobar Islands,2019,4,Vivo,5190,0.19992295839753402
Andaman And Nicobar Islands,2019,4,Samsung,4900,0.18875192604006102
Andaman And Nicobar Islands,2019,4,Oppo,2329,0.089714946070878
Andaman And Nicobar Islands,2019,4,Realme,1329,0.051194144838212004
Andaman And Nicobar Islands,2019,4,OnePlus,1124,0.043297380585516
Andaman And Nicobar Islands,2019,4,Huawei,798,0.030739599383667004
Andaman And Nicobar Islands,2019,4,Motorola,682,0.026271186440677004
Andaman And Nicobar Islands,2019,4,Apple,678,0.026117103235747
Andaman And Nicobar Islands,2019,4,Lenovo,488,0.01879815100154
Andaman And Nicobar Islands,2019,4,Others,2183,0.08409090909090901
Andaman And Nicobar Islands,2020,1,Xiaomi,6803,0.23981246474901202
Andaman And Nicobar Islands,2020,1,Vivo,5880,0.207275803722504
Andaman And Nicobar Islands,2020,1,Samsung,5335,0.188064015792442
Andaman And Nicobar Islands,2020,1,Oppo,2557,0.090136773829667
Andaman And Nicobar Islands,2020,1,Realme,1511,0.053264241398759
Andaman And Nicobar Islands,2020,1,OnePlus,1184,0.041737168640721
Andaman And Nicobar Islands,2020,1,Huawei,891,0.031408629441624
Andaman And Nicobar Islands,2020,1,Apple,735,0.025909475465313
Andaman And Nicobar Islands,2020,1,Motorola,715,0.025204455724760003
Andaman And Nicobar Islands,2020,1,Lenovo,500,0.017625493513818
Andaman And Nicobar Islands,2020,1,Others,2257,0.079561477721376
Andaman And Nicobar Islands,2020,2,Xiaomi,7805,0.23861204524610202
Andaman And Nicobar Islands,2020,2,Vivo,7122,0.21773158055640401
Andaman And Nicobar Islands,2020,2,Samsung,6030,0.18434729440538
Andaman And Nicobar Islands,2020,2,Oppo,2976,0.090981351268725
Andaman And Nicobar Islands,2020,2,Realme,1761,0.053836747172118005
Andaman And Nicobar Islands,2020,2,OnePlus,1271,0.038856618771018
Andaman And Nicobar Islands,2020,2,Huawei,1005,0.030724549067563004
Andaman And Nicobar Islands,2020,2,Apple,792,0.024212778966676
Andaman And Nicobar Islands,2020,2,Motorola,779,0.023815346988688
Andaman And Nicobar Islands,2020,2,Lenovo,552,0.016875573219199
Andaman And Nicobar Islands,2020,2,Others,2617,0.080006114338122
